epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,2743.45,0.67999,0.32722,0.78109,0.93973,0.73362,0.82135,0.57598,0.77298,0.39963,0.79426,0.00528,0.00528,0.00528
120,2766.37,0.68084,0.32532,0.78143,0.97149,0.71038,0.81635,0.58118,0.78329,0.40012,0.79469,0.00524,0.00524,0.00524
121,2789.28,0.68926,0.32924,0.77959,0.94471,0.75644,0.83311,0.59018,0.76284,0.39138,0.79393,0.0052,0.0052,0.0052
122,2812.13,0.67643,0.32024,0.7824,0.96114,0.75558,0.83343,0.58363,0.78289,0.38643,0.79477,0.00516,0.00516,0.00516
123,2835.05,0.66462,0.32276,0.77967,0.9714,0.71066,0.81892,0.58144,0.78033,0.38527,0.79499,0.00512,0.00512,0.00512
124,2858.01,0.68763,0.32515,0.78092,0.95454,0.76471,0.83202,0.59422,0.77042,0.38128,0.79312,0.00508,0.00508,0.00508
125,2880.99,0.65772,0.31638,0.781,0.94014,0.75326,0.82597,0.58914,0.76749,0.37949,0.79426,0.00504,0.00504,0.00504
126,2904.06,0.67235,0.3224,0.78168,0.97248,0.72253,0.81569,0.56669,0.78309,0.3992,0.79449,0.005,0.005,0.005
127,2927.07,0.66803,0.31932,0.78049,0.93865,0.71961,0.81976,0.57149,0.77723,0.39964,0.79163,0.00496,0.00496,0.00496
128,2950.11,0.66239,0.32062,0.77984,0.93435,0.71803,0.7961,0.56708,0.76971,0.39739,0.79185,0.00492,0.00492,0.00492
129,2973.27,0.66015,0.31599,0.78011,0.97728,0.73154,0.82355,0.58487,0.76551,0.38022,0.79233,0.00488,0.00488,0.00488
130,2996.55,0.65669,0.31315,0.77898,0.92636,0.72626,0.82583,0.58238,0.76746,0.38496,0.7935,0.00484,0.00484,0.00484
131,3019.49,0.6551,0.3123,0.78088,0.94912,0.73633,0.83133,0.58113,0.77013,0.38502,0.79442,0.0048,0.0048,0.0048
132,3042.25,0.6568,0.31242,0.7783,0.90786,0.74059,0.83055,0.59016,0.77073,0.39786,0.79236,0.00476,0.00476,0.00476
133,3065.01,0.64428,0.31253,0.77836,0.94623,0.72706,0.81589,0.57583,0.75671,0.40169,0.79181,0.00472,0.00472,0.00472
134,3087.75,0.64619,0.30982,0.77941,0.93637,0.73185,0.83618,0.58019,0.77117,0.3976,0.79245,0.00468,0.00468,0.00468
135,3110.55,0.6391,0.30951,0.77949,0.93864,0.73505,0.81867,0.57116,0.77889,0.37955,0.79228,0.00464,0.00464,0.00464
136,3133.38,0.6439,0.31012,0.77919,0.9414,0.73102,0.82699,0.58,0.78483,0.38052,0.79238,0.0046,0.0046,0.0046
137,3156.17,0.63468,0.30671,0.77969,0.98577,0.74123,0.82952,0.58476,0.78021,0.38819,0.79328,0.00456,0.00456,0.00456
138,3179.01,0.63954,0.30858,0.77974,0.97707,0.74982,0.82775,0.58111,0.77466,0.38109,0.79271,0.00452,0.00452,0.00452
139,3201.84,0.6279,0.30673,0.77915,0.98051,0.74494,0.83249,0.5788,0.77085,0.38848,0.79228,0.00448,0.00448,0.00448
140,3224.64,0.63096,0.30456,0.77602,0.97259,0.725,0.82958,0.58704,0.76568,0.38585,0.79156,0.00444,0.00444,0.00444
141,3247.48,0.6168,0.29846,0.77776,0.94568,0.75475,0.82635,0.58375,0.77499,0.38011,0.79198,0.0044,0.0044,0.0044
142,3270.33,0.60302,0.29697,0.77667,0.94682,0.75628,0.8313,0.59331,0.76457,0.37658,0.79108,0.00436,0.00436,0.00436
143,3293.15,0.63034,0.30216,0.77944,0.9813,0.73461,0.82901,0.59405,0.7705,0.38284,0.79159,0.00432,0.00432,0.00432
144,3315.97,0.61307,0.30051,0.77622,0.95887,0.7362,0.82088,0.5851,0.76111,0.37678,0.7912,0.00428,0.00428,0.00428
145,3338.8,0.60528,0.29709,0.77639,0.96769,0.72251,0.82719,0.58383,0.76922,0.37988,0.79041,0.00424,0.00424,0.00424
146,3361.67,0.61212,0.29655,0.77698,0.95081,0.74044,0.83769,0.59604,0.76849,0.37747,0.79166,0.0042,0.0042,0.0042
147,3384.56,0.60933,0.29531,0.77649,0.94746,0.75816,0.8371,0.59128,0.76942,0.3733,0.79119,0.00416,0.00416,0.00416
148,3407.36,0.59764,0.29307,0.77766,0.91546,0.75487,0.83319,0.58437,0.77132,0.38201,0.79207,0.00412,0.00412,0.00412
149,3430.21,0.60334,0.29371,0.77712,0.90885,0.74186,0.82297,0.5804,0.77356,0.37918,0.79271,0.00408,0.00408,0.00408
150,3453.08,0.60636,0.29148,0.77676,0.89921,0.74378,0.82994,0.57844,0.77435,0.37696,0.79253,0.00404,0.00404,0.00404
151,3475.91,0.60226,0.29048,0.7766,0.90365,0.73582,0.82745,0.58166,0.76971,0.38034,0.79042,0.004,0.004,0.004
152,3498.76,0.59736,0.29049,0.77736,0.90753,0.72877,0.81932,0.57741,0.77464,0.38526,0.79104,0.00396,0.00396,0.00396
153,3521.53,0.604,0.29243,0.77496,0.96753,0.7114,0.82069,0.58127,0.77605,0.38195,0.79147,0.00392,0.00392,0.00392
154,3544.36,0.59747,0.29174,0.77293,0.94751,0.71384,0.82542,0.59109,0.76833,0.3858,0.79024,0.00388,0.00388,0.00388
